用户ID,兴趣类别,观看视频数,点赞视频数
375,"CAT_057, CAT_182, CAT_104, CAT_024, CAT_098, CAT_194",128,43
376,"CAT_034, CAT_214, CAT_126, CAT_030, CAT_215",102,38
377,"CAT_083, CAT_153, CAT_129, CAT_037, CAT_122",138,43
378,"CAT_034, CAT_125, CAT_188, CAT_023, CAT_221",106,35
379,"CAT_167, CAT_041, CAT_164, CAT_100",132,56
380,"CAT_089, CAT_122, CAT_214, CAT_041",140,47
381,"CAT_213, CAT_171, CAT_169, CAT_204, CAT_016, CAT_045",118,45
382,"CAT_154, CAT_000, CAT_131, CAT_145, CAT_083",107,31
383,"CAT_176, CAT_044, CAT_054, CAT_161",114,48
384,"CAT_148, CAT_066, CAT_057, CAT_159",115,51
385,"CAT_206, CAT_180, CAT_008, CAT_186",92,25
386,"CAT_201, CAT_212, CAT_107, CAT_157, CAT_162",88,34
387,"CAT_049, CAT_018, CAT_214, CAT_048, CAT_109",120,59
388,"CAT_026, CAT_055, CAT_211, CAT_119, CAT_133, CAT_138",135,54
389,"CAT_097, CAT_006, CAT_092, CAT_171",117,53
390,"CAT_210, CAT_193, CAT_138, CAT_141",108,38
391,"CAT_170, CAT_013, CAT_220, CAT_214",125,60
392,"CAT_068, CAT_136, CAT_040, CAT_052, CAT_097",121,40
393,"CAT_179, CAT_183, CAT_204, CAT_004",119,46
394,"CAT_036, CAT_152, CAT_198, CAT_058, CAT_202, CAT_076",137,54
395,"CAT_007, CAT_168, CAT_161, CAT_119, CAT_032",121,48
396,"CAT_089, CAT_072, CAT_090, CAT_186, CAT_150",91,32
397,"CAT_109, CAT_056, CAT_126, CAT_024, CAT_000, CAT_081",130,41
398,"CAT_034, CAT_104, CAT_137, CAT_107",107,46
399,"CAT_105, CAT_127, CAT_058, CAT_165, CAT_215, CAT_037",122,54
400,"CAT_066, CAT_020, CAT_171, CAT_138, CAT_186",126,50
401,"CAT_203, CAT_019, CAT_172, CAT_113, CAT_124, CAT_109",144,53
402,"CAT_013, CAT_184, CAT_102, CAT_025",109,37
403,"CAT_091, CAT_081, CAT_159, CAT_053, CAT_055, CAT_152",133,41
404,"CAT_133, CAT_024, CAT_064, CAT_195, CAT_020",106,49
405,"CAT_114, CAT_140, CAT_107, CAT_171, CAT_062, CAT_194",105,43
406,"CAT_162, CAT_219, CAT_066, CAT_069, CAT_197",104,42
407,"CAT_076, CAT_175, CAT_040, CAT_168, CAT_095",123,62
408,"CAT_083, CAT_077, CAT_202, CAT_162, CAT_127, CAT_216",111,46
409,"CAT_044, CAT_150, CAT_220, CAT_109, CAT_009",129,50
410,"CAT_093, CAT_160, CAT_009, CAT_174, CAT_168",141,55
411,"CAT_105, CAT_103, CAT_201, CAT_164, CAT_222",111,57
412,"CAT_181, CAT_008, CAT_071, CAT_005",118,41
413,"CAT_157, CAT_027, CAT_043, CAT_088, CAT_160",131,59
414,"CAT_148, CAT_151, CAT_050, CAT_177",110,55
415,"CAT_097, CAT_135, CAT_182, CAT_202",112,33
416,"CAT_076, CAT_179, CAT_089, CAT_201, CAT_176",104,48
417,"CAT_041, CAT_068, CAT_019, CAT_086",140,64
418,"CAT_116, CAT_172, CAT_018, CAT_050, CAT_198",115,39
419,"CAT_187, CAT_202, CAT_180, CAT_218",133,51
420,"CAT_157, CAT_044, CAT_108, CAT_136, CAT_172",116,36
421,"CAT_049, CAT_056, CAT_107, CAT_070, CAT_036",95,39
422,"CAT_018, CAT_111, CAT_045, CAT_134, CAT_025, CAT_057",135,57
423,"CAT_216, CAT_205, CAT_166, CAT_196, CAT_091, CAT_033",117,38
424,"CAT_200, CAT_069, CAT_213, CAT_183, CAT_190, CAT_130",122,57
425,"CAT_129, CAT_088, CAT_192, CAT_138",122,51
426,"CAT_165, CAT_005, CAT_045, CAT_120",107,45
427,"CAT_071, CAT_182, CAT_171, CAT_046, CAT_050, CAT_005",152,69
428,"CAT_198, CAT_213, CAT_008, CAT_123",95,39
429,"CAT_194, CAT_105, CAT_140, CAT_039, CAT_040, CAT_196",111,49
430,"CAT_052, CAT_131, CAT_012, CAT_135, CAT_009, CAT_080",124,46
431,"CAT_035, CAT_053, CAT_186, CAT_043",139,54
432,"CAT_151, CAT_076, CAT_212, CAT_062, CAT_162",124,47
433,"CAT_075, CAT_164, CAT_022, CAT_139",123,44
434,"CAT_187, CAT_123, CAT_035, CAT_213, CAT_080, CAT_212",117,45
435,"CAT_020, CAT_212, CAT_047, CAT_129",129,58
436,"CAT_075, CAT_135, CAT_116, CAT_112, CAT_105",116,51
437,"CAT_037, CAT_199, CAT_149, CAT_115",101,42
438,"CAT_123, CAT_057, CAT_195, CAT_201, CAT_011, CAT_087",102,41
439,"CAT_070, CAT_055, CAT_051, CAT_191",135,58
440,"CAT_111, CAT_007, CAT_017, CAT_090, CAT_200",129,56
441,"CAT_123, CAT_067, CAT_094, CAT_194, CAT_157",116,47
442,"CAT_168, CAT_217, CAT_085, CAT_097",101,40
443,"CAT_012, CAT_040, CAT_215, CAT_191",112,39
444,"CAT_207, CAT_106, CAT_130, CAT_038, CAT_048",111,54
445,"CAT_128, CAT_212, CAT_072, CAT_177, CAT_033",113,36
446,"CAT_005, CAT_099, CAT_189, CAT_101, CAT_144, CAT_201",124,47
447,"CAT_019, CAT_162, CAT_002, CAT_143, CAT_117, CAT_079",105,44
448,"CAT_058, CAT_085, CAT_195, CAT_057, CAT_019, CAT_009",109,43
449,"CAT_203, CAT_037, CAT_083, CAT_180, CAT_172, CAT_197",103,44
450,"CAT_009, CAT_055, CAT_130, CAT_088",140,57
451,"CAT_163, CAT_119, CAT_145, CAT_082, CAT_015, CAT_093",104,32
452,"CAT_047, CAT_213, CAT_051, CAT_126",117,52
453,"CAT_151, CAT_096, CAT_002, CAT_186, CAT_163, CAT_204",89,29
454,"CAT_214, CAT_186, CAT_124, CAT_008",131,47
455,"CAT_156, CAT_145, CAT_214, CAT_079, CAT_002",139,58
456,"CAT_159, CAT_034, CAT_104, CAT_214, CAT_059, CAT_142",98,54
457,"CAT_083, CAT_060, CAT_042, CAT_178, CAT_172",165,59
458,"CAT_157, CAT_045, CAT_196, CAT_190",110,46
459,"CAT_220, CAT_109, CAT_092, CAT_219, CAT_160",106,48
460,"CAT_010, CAT_198, CAT_008, CAT_144, CAT_139",90,40
461,"CAT_012, CAT_203, CAT_124, CAT_046, CAT_119, CAT_220",130,49
462,"CAT_162, CAT_031, CAT_096, CAT_171, CAT_204",103,39
463,"CAT_163, CAT_047, CAT_059, CAT_147, CAT_212, CAT_126",140,56
464,"CAT_073, CAT_134, CAT_089, CAT_183",116,55
465,"CAT_010, CAT_215, CAT_216, CAT_207, CAT_205, CAT_020",124,45
466,"CAT_161, CAT_092, CAT_184, CAT_167, CAT_127",120,43
467,"CAT_123, CAT_221, CAT_012, CAT_005",107,39
468,"CAT_112, CAT_176, CAT_032, CAT_170",113,40
469,"CAT_135, CAT_058, CAT_177, CAT_005, CAT_073, CAT_092",139,62
470,"CAT_076, CAT_136, CAT_066, CAT_169, CAT_038, CAT_153",146,63
471,"CAT_057, CAT_062, CAT_000, CAT_209, CAT_086, CAT_016",124,47
472,"CAT_149, CAT_161, CAT_102, CAT_143, CAT_070, CAT_175",109,53
473,"CAT_109, CAT_152, CAT_181, CAT_140, CAT_086",122,58
474,"CAT_138, CAT_145, CAT_073, CAT_041, CAT_124",102,30
475,"CAT_149, CAT_060, CAT_119, CAT_209, CAT_136, CAT_009",122,54
476,"CAT_215, CAT_011, CAT_022, CAT_086",136,67
477,"CAT_014, CAT_077, CAT_141, CAT_213, CAT_115, CAT_041",101,28
478,"CAT_127, CAT_025, CAT_179, CAT_104",120,52
479,"CAT_151, CAT_163, CAT_208, CAT_189",126,59
480,"CAT_156, CAT_082, CAT_094, CAT_054, CAT_029, CAT_105",128,52
481,"CAT_179, CAT_115, CAT_119, CAT_034",139,50
482,"CAT_134, CAT_137, CAT_195, CAT_099",106,51
483,"CAT_181, CAT_007, CAT_131, CAT_006",112,38
484,"CAT_040, CAT_199, CAT_036, CAT_147, CAT_023",102,42
485,"CAT_030, CAT_082, CAT_147, CAT_122",111,35
486,"CAT_208, CAT_177, CAT_186, CAT_010, CAT_033, CAT_120",136,57
487,"CAT_066, CAT_065, CAT_018, CAT_140, CAT_197, CAT_170",122,44
488,"CAT_085, CAT_058, CAT_214, CAT_210, CAT_109, CAT_159",128,50
489,"CAT_028, CAT_007, CAT_113, CAT_011, CAT_158, CAT_099",122,53
490,"CAT_212, CAT_173, CAT_119, CAT_122, CAT_057, CAT_192",105,43
491,"CAT_198, CAT_124, CAT_075, CAT_156",98,33
492,"CAT_129, CAT_046, CAT_013, CAT_079",141,59
493,"CAT_064, CAT_074, CAT_196, CAT_127, CAT_155, CAT_153",118,56
494,"CAT_099, CAT_011, CAT_055, CAT_163, CAT_051, CAT_012",125,46
495,"CAT_082, CAT_158, CAT_212, CAT_155, CAT_093, CAT_011",122,56
496,"CAT_054, CAT_069, CAT_070, CAT_085",123,63
497,"CAT_019, CAT_139, CAT_217, CAT_044",160,66
498,"CAT_145, CAT_193, CAT_198, CAT_010",155,65
499,"CAT_030, CAT_130, CAT_084, CAT_072, CAT_007, CAT_057",117,53
500,"CAT_124, CAT_045, CAT_073, CAT_053, CAT_027",118,40
501,"CAT_067, CAT_042, CAT_050, CAT_161",108,40
502,"CAT_206, CAT_175, CAT_147, CAT_183",108,39
503,"CAT_153, CAT_064, CAT_155, CAT_058, CAT_056",138,61
504,"CAT_191, CAT_013, CAT_063, CAT_145",134,57
505,"CAT_133, CAT_063, CAT_064, CAT_058, CAT_054, CAT_136",143,66
506,"CAT_220, CAT_204, CAT_182, CAT_137, CAT_140, CAT_196",100,38
507,"CAT_203, CAT_112, CAT_028, CAT_173",117,46
508,"CAT_131, CAT_074, CAT_034, CAT_065",137,60
509,"CAT_154, CAT_033, CAT_142, CAT_067",132,47
510,"CAT_117, CAT_101, CAT_152, CAT_161, CAT_072, CAT_100",134,59
511,"CAT_055, CAT_177, CAT_044, CAT_066, CAT_176",116,40
512,"CAT_090, CAT_174, CAT_068, CAT_117, CAT_148",127,53
513,"CAT_082, CAT_020, CAT_048, CAT_199, CAT_125, CAT_026",129,48
514,"CAT_206, CAT_112, CAT_208, CAT_095",113,53
515,"CAT_028, CAT_136, CAT_180, CAT_172",111,42
516,"CAT_211, CAT_081, CAT_068, CAT_162, CAT_053",149,53
517,"CAT_037, CAT_217, CAT_180, CAT_169",104,42
518,"CAT_016, CAT_199, CAT_036, CAT_149, CAT_159",114,49
519,"CAT_107, CAT_036, CAT_160, CAT_152, CAT_052",103,41
520,"CAT_174, CAT_013, CAT_010, CAT_073, CAT_124, CAT_102",126,43
521,"CAT_188, CAT_024, CAT_092, CAT_213, CAT_054, CAT_066",116,50
522,"CAT_047, CAT_198, CAT_072, CAT_030, CAT_183, CAT_176",105,45
523,"CAT_010, CAT_035, CAT_166, CAT_179",118,44
524,"CAT_110, CAT_181, CAT_109, CAT_147, CAT_144",125,47
525,"CAT_018, CAT_121, CAT_069, CAT_099, CAT_136",103,31
526,"CAT_115, CAT_118, CAT_082, CAT_037, CAT_151",122,48
527,"CAT_096, CAT_015, CAT_035, CAT_205, CAT_119",124,53
528,"CAT_073, CAT_197, CAT_202, CAT_218",103,39
529,"CAT_000, CAT_120, CAT_187, CAT_097",103,40
530,"CAT_023, CAT_046, CAT_219, CAT_131, CAT_045",139,53
531,"CAT_029, CAT_215, CAT_020, CAT_075, CAT_183, CAT_222",119,45
532,"CAT_124, CAT_111, CAT_172, CAT_207, CAT_058",123,52
533,"CAT_219, CAT_131, CAT_201, CAT_076",118,40
534,"CAT_134, CAT_120, CAT_004, CAT_090",104,30
535,"CAT_034, CAT_177, CAT_004, CAT_114, CAT_179, CAT_181",136,55
536,"CAT_037, CAT_079, CAT_144, CAT_186",129,57
537,"CAT_217, CAT_188, CAT_022, CAT_066, CAT_172",117,44
538,"CAT_006, CAT_094, CAT_124, CAT_095, CAT_034",105,38
539,"CAT_178, CAT_062, CAT_021, CAT_158, CAT_157",99,39
540,"CAT_157, CAT_078, CAT_016, CAT_114",139,54
541,"CAT_163, CAT_109, CAT_121, CAT_180, CAT_101, CAT_158",125,49
542,"CAT_037, CAT_108, CAT_119, CAT_155, CAT_184, CAT_012",129,49
543,"CAT_194, CAT_186, CAT_067, CAT_215, CAT_082, CAT_086",111,33
544,"CAT_167, CAT_001, CAT_036, CAT_104, CAT_142",102,40
545,"CAT_157, CAT_100, CAT_215, CAT_067, CAT_138",119,49
546,"CAT_020, CAT_203, CAT_190, CAT_029, CAT_159",151,66
547,"CAT_042, CAT_120, CAT_113, CAT_022, CAT_099, CAT_221",123,52
548,"CAT_062, CAT_175, CAT_215, CAT_105, CAT_167, CAT_196",93,33
549,"CAT_097, CAT_065, CAT_210, CAT_169",95,42
550,"CAT_222, CAT_057, CAT_214, CAT_120, CAT_086, CAT_211",112,47
551,"CAT_173, CAT_097, CAT_023, CAT_191",128,56
552,"CAT_075, CAT_203, CAT_163, CAT_175, CAT_109",124,46
553,"CAT_046, CAT_193, CAT_214, CAT_062, CAT_189",125,55
554,"CAT_138, CAT_200, CAT_061, CAT_192, CAT_165, CAT_131",135,59
555,"CAT_142, CAT_045, CAT_107, CAT_117, CAT_080",113,55
556,"CAT_059, CAT_025, CAT_209, CAT_018",128,58
557,"CAT_011, CAT_196, CAT_127, CAT_109",129,55
558,"CAT_088, CAT_078, CAT_099, CAT_070, CAT_185, CAT_110",131,46
559,"CAT_164, CAT_072, CAT_077, CAT_090, CAT_146, CAT_153",143,55
560,"CAT_138, CAT_150, CAT_068, CAT_166, CAT_197, CAT_104",158,62
561,"CAT_014, CAT_125, CAT_171, CAT_132",141,54
562,"CAT_062, CAT_002, CAT_138, CAT_158, CAT_117, CAT_216",136,46
563,"CAT_082, CAT_045, CAT_141, CAT_179",110,45
564,"CAT_209, CAT_130, CAT_068, CAT_219, CAT_097, CAT_047",137,45
565,"CAT_216, CAT_134, CAT_131, CAT_100, CAT_124, CAT_222",88,33
566,"CAT_194, CAT_201, CAT_117, CAT_029, CAT_180",111,34
567,"CAT_085, CAT_132, CAT_196, CAT_092, CAT_009",127,43
568,"CAT_027, CAT_175, CAT_213, CAT_202",134,45
569,"CAT_057, CAT_158, CAT_047, CAT_163",119,53
570,"CAT_038, CAT_045, CAT_209, CAT_176, CAT_002, CAT_070",124,45
571,"CAT_043, CAT_065, CAT_114, CAT_005, CAT_008",103,46
572,"CAT_173, CAT_134, CAT_056, CAT_139",133,54
573,"CAT_170, CAT_023, CAT_115, CAT_217",152,59
574,"CAT_066, CAT_189, CAT_142, CAT_116, CAT_208",133,56
575,"CAT_016, CAT_119, CAT_079, CAT_199",115,45
576,"CAT_209, CAT_072, CAT_030, CAT_211",115,46
577,"CAT_174, CAT_104, CAT_023, CAT_010",127,50
578,"CAT_179, CAT_022, CAT_073, CAT_011",139,51
579,"CAT_161, CAT_195, CAT_070, CAT_099, CAT_186, CAT_137",117,43
580,"CAT_130, CAT_196, CAT_046, CAT_017, CAT_120",96,29
581,"CAT_058, CAT_012, CAT_039, CAT_166, CAT_107, CAT_181",107,52
582,"CAT_001, CAT_074, CAT_105, CAT_103, CAT_032, CAT_173",130,57
583,"CAT_059, CAT_096, CAT_016, CAT_071",151,66
584,"CAT_141, CAT_177, CAT_111, CAT_133",115,52
585,"CAT_178, CAT_000, CAT_168, CAT_161, CAT_182",104,42
586,"CAT_197, CAT_204, CAT_094, CAT_059, CAT_051",145,55
587,"CAT_077, CAT_167, CAT_024, CAT_017, CAT_084",101,45
588,"CAT_057, CAT_117, CAT_172, CAT_056",127,52
589,"CAT_058, CAT_151, CAT_113, CAT_209",120,41
590,"CAT_126, CAT_021, CAT_131, CAT_162, CAT_065",129,51
591,"CAT_181, CAT_010, CAT_123, CAT_080, CAT_218",143,53
592,"CAT_181, CAT_080, CAT_083, CAT_067, CAT_150",138,55
593,"CAT_210, CAT_146, CAT_057, CAT_060, CAT_191",134,59
594,"CAT_021, CAT_134, CAT_191, CAT_016",113,51
595,"CAT_140, CAT_061, CAT_043, CAT_039, CAT_020, CAT_134",124,60
596,"CAT_092, CAT_209, CAT_035, CAT_073",101,43
597,"CAT_156, CAT_177, CAT_098, CAT_188, CAT_198",146,69
598,"CAT_212, CAT_186, CAT_122, CAT_009",138,58
599,"CAT_037, CAT_102, CAT_087, CAT_041, CAT_175, CAT_069",115,45
600,"CAT_176, CAT_162, CAT_074, CAT_166",129,45
601,"CAT_206, CAT_148, CAT_177, CAT_093, CAT_129, CAT_060",128,53
602,"CAT_135, CAT_193, CAT_205, CAT_218, CAT_144, CAT_121",135,55
603,"CAT_001, CAT_077, CAT_122, CAT_064, CAT_202, CAT_137",123,45
604,"CAT_148, CAT_018, CAT_089, CAT_190, CAT_047, CAT_194",130,54
605,"CAT_157, CAT_126, CAT_142, CAT_208, CAT_100, CAT_099",138,56
606,"CAT_199, CAT_088, CAT_176, CAT_220, CAT_147, CAT_060",114,42
607,"CAT_155, CAT_168, CAT_214, CAT_120, CAT_167, CAT_021",127,44
608,"CAT_216, CAT_021, CAT_054, CAT_203, CAT_015",107,49
609,"CAT_118, CAT_015, CAT_038, CAT_123, CAT_134, CAT_097",119,50
610,"CAT_166, CAT_163, CAT_167, CAT_172, CAT_151",142,51
611,"CAT_149, CAT_111, CAT_185, CAT_166, CAT_197, CAT_041",98,42
612,"CAT_145, CAT_064, CAT_070, CAT_054",151,60
613,"CAT_213, CAT_175, CAT_150, CAT_154, CAT_192, CAT_218",124,59
614,"CAT_130, CAT_015, CAT_020, CAT_076",92,34
615,"CAT_035, CAT_167, CAT_027, CAT_010, CAT_146",116,48
616,"CAT_129, CAT_132, CAT_058, CAT_189, CAT_124, CAT_084",120,52
617,"CAT_158, CAT_203, CAT_149, CAT_165",143,58
618,"CAT_220, CAT_098, CAT_168, CAT_149",107,40
619,"CAT_197, CAT_094, CAT_045, CAT_102",117,45
620,"CAT_213, CAT_024, CAT_140, CAT_188",159,68
621,"CAT_195, CAT_219, CAT_215, CAT_016, CAT_115",134,47
622,"CAT_137, CAT_074, CAT_150, CAT_169, CAT_136, CAT_104",142,71
623,"CAT_205, CAT_152, CAT_195, CAT_013, CAT_179",105,44
624,"CAT_021, CAT_015, CAT_163, CAT_136",99,33
625,"CAT_167, CAT_156, CAT_193, CAT_063",104,38
626,"CAT_101, CAT_122, CAT_208, CAT_058, CAT_074",126,56
627,"CAT_008, CAT_128, CAT_173, CAT_064, CAT_116, CAT_113",125,45
628,"CAT_137, CAT_086, CAT_103, CAT_149, CAT_185",112,49
629,"CAT_159, CAT_106, CAT_211, CAT_124, CAT_120, CAT_025",109,47
630,"CAT_117, CAT_002, CAT_013, CAT_139",112,50
631,"CAT_135, CAT_097, CAT_175, CAT_144, CAT_198",119,43
632,"CAT_009, CAT_212, CAT_020, CAT_110, CAT_102",132,62
633,"CAT_025, CAT_024, CAT_191, CAT_122",92,41
634,"CAT_070, CAT_111, CAT_222, CAT_018",117,50
635,"CAT_006, CAT_194, CAT_133, CAT_053",134,47
636,"CAT_008, CAT_160, CAT_084, CAT_169, CAT_211",134,50
637,"CAT_046, CAT_142, CAT_132, CAT_178, CAT_072, CAT_202",113,51
638,"CAT_088, CAT_215, CAT_177, CAT_126, CAT_145, CAT_025",113,44
639,"CAT_142, CAT_217, CAT_072, CAT_002, CAT_209, CAT_110",152,69
640,"CAT_036, CAT_108, CAT_090, CAT_168",132,50
641,"CAT_188, CAT_172, CAT_182, CAT_159",126,53
642,"CAT_195, CAT_074, CAT_081, CAT_176",103,39
643,"CAT_119, CAT_184, CAT_067, CAT_098, CAT_172, CAT_151",120,46
644,"CAT_027, CAT_116, CAT_016, CAT_215",134,56
645,"CAT_221, CAT_037, CAT_045, CAT_034, CAT_032, CAT_138",127,47
646,"CAT_077, CAT_082, CAT_086, CAT_095, CAT_124, CAT_076",113,59
647,"CAT_149, CAT_183, CAT_082, CAT_024",141,48
648,"CAT_032, CAT_096, CAT_192, CAT_154, CAT_085",125,52
649,"CAT_134, CAT_036, CAT_019, CAT_122, CAT_060, CAT_108",113,52
650,"CAT_118, CAT_060, CAT_028, CAT_059",127,39
651,"CAT_195, CAT_014, CAT_097, CAT_119",118,44
652,"CAT_102, CAT_185, CAT_160, CAT_057",123,46
653,"CAT_127, CAT_016, CAT_091, CAT_065, CAT_151, CAT_215",110,43
654,"CAT_140, CAT_181, CAT_165, CAT_133, CAT_192",126,52
655,"CAT_170, CAT_140, CAT_049, CAT_219, CAT_194, CAT_082",148,64
656,"CAT_016, CAT_081, CAT_185, CAT_073, CAT_154",106,39
657,"CAT_158, CAT_102, CAT_141, CAT_150, CAT_128, CAT_170",90,44
658,"CAT_004, CAT_174, CAT_021, CAT_025",106,46
659,"CAT_050, CAT_077, CAT_090, CAT_045, CAT_116, CAT_023",113,40
660,"CAT_135, CAT_215, CAT_020, CAT_186, CAT_143",118,46
661,"CAT_066, CAT_222, CAT_146, CAT_186",124,63
662,"CAT_024, CAT_124, CAT_186, CAT_011, CAT_098, CAT_082",121,53
663,"CAT_152, CAT_044, CAT_070, CAT_098, CAT_040",99,36
664,"CAT_092, CAT_187, CAT_044, CAT_107",139,53
665,"CAT_099, CAT_003, CAT_030, CAT_075",102,51
666,"CAT_167, CAT_091, CAT_059, CAT_095, CAT_119",114,41
667,"CAT_062, CAT_140, CAT_145, CAT_184, CAT_090",112,55
668,"CAT_155, CAT_031, CAT_217, CAT_030, CAT_197",117,56
669,"CAT_049, CAT_154, CAT_123, CAT_043, CAT_211, CAT_072",113,39
670,"CAT_033, CAT_106, CAT_034, CAT_220, CAT_123, CAT_000",128,42
671,"CAT_049, CAT_153, CAT_121, CAT_168",144,65
672,"CAT_170, CAT_071, CAT_063, CAT_001, CAT_048",87,29
673,"CAT_217, CAT_071, CAT_031, CAT_143, CAT_021",115,55
674,"CAT_200, CAT_031, CAT_172, CAT_131, CAT_114",102,41
675,"CAT_045, CAT_111, CAT_075, CAT_074, CAT_155, CAT_017",118,48
676,"CAT_074, CAT_171, CAT_111, CAT_004, CAT_031",130,33
677,"CAT_046, CAT_170, CAT_091, CAT_025, CAT_096, CAT_047",122,48
678,"CAT_222, CAT_163, CAT_039, CAT_171",122,52
679,"CAT_038, CAT_176, CAT_202, CAT_210, CAT_182",124,58
680,"CAT_165, CAT_003, CAT_049, CAT_098, CAT_017",108,44
681,"CAT_110, CAT_123, CAT_120, CAT_177, CAT_024",102,29
682,"CAT_205, CAT_107, CAT_066, CAT_121, CAT_137",116,46
683,"CAT_108, CAT_017, CAT_170, CAT_064, CAT_205",102,38
684,"CAT_011, CAT_008, CAT_001, CAT_133",142,51
685,"CAT_137, CAT_043, CAT_059, CAT_152",130,56
686,"CAT_158, CAT_166, CAT_146, CAT_132",169,68
687,"CAT_032, CAT_001, CAT_130, CAT_068",143,59
688,"CAT_152, CAT_155, CAT_222, CAT_090, CAT_149, CAT_011",138,57
689,"CAT_146, CAT_119, CAT_219, CAT_222",129,49
690,"CAT_047, CAT_029, CAT_065, CAT_089, CAT_018",125,52
691,"CAT_119, CAT_165, CAT_184, CAT_055, CAT_045, CAT_164",119,49
692,"CAT_124, CAT_005, CAT_092, CAT_165, CAT_056, CAT_022",132,54
693,"CAT_112, CAT_016, CAT_007, CAT_082",128,56
694,"CAT_154, CAT_192, CAT_141, CAT_059, CAT_004, CAT_169",99,37
695,"CAT_143, CAT_133, CAT_221, CAT_197, CAT_077",119,50
696,"CAT_099, CAT_138, CAT_216, CAT_041, CAT_163",123,45
697,"CAT_085, CAT_209, CAT_182, CAT_003",124,43
698,"CAT_181, CAT_176, CAT_069, CAT_082, CAT_142",120,62
699,"CAT_153, CAT_134, CAT_209, CAT_056, CAT_143, CAT_203",126,48
700,"CAT_096, CAT_071, CAT_103, CAT_073, CAT_160",117,47
701,"CAT_108, CAT_034, CAT_097, CAT_072, CAT_123",132,51
702,"CAT_060, CAT_192, CAT_220, CAT_047, CAT_139",102,40
703,"CAT_176, CAT_078, CAT_108, CAT_142",92,29
704,"CAT_151, CAT_100, CAT_044, CAT_172",132,47
705,"CAT_058, CAT_048, CAT_211, CAT_084",100,42
706,"CAT_192, CAT_168, CAT_065, CAT_082, CAT_093",107,35
707,"CAT_060, CAT_118, CAT_102, CAT_049, CAT_202, CAT_176",121,44
708,"CAT_044, CAT_170, CAT_175, CAT_203",94,42
709,"CAT_104, CAT_039, CAT_007, CAT_031",135,51
710,"CAT_115, CAT_114, CAT_040, CAT_119, CAT_204",131,53
711,"CAT_098, CAT_165, CAT_173, CAT_033, CAT_006, CAT_202",98,36
712,"CAT_047, CAT_122, CAT_128, CAT_002, CAT_208",149,61
713,"CAT_204, CAT_103, CAT_169, CAT_000, CAT_140, CAT_040",123,50
714,"CAT_045, CAT_147, CAT_109, CAT_214",103,40
715,"CAT_030, CAT_160, CAT_201, CAT_121",139,57
716,"CAT_174, CAT_098, CAT_171, CAT_080",124,58
717,"CAT_138, CAT_222, CAT_146, CAT_028, CAT_053",110,42
718,"CAT_148, CAT_071, CAT_147, CAT_036",106,40
719,"CAT_028, CAT_222, CAT_075, CAT_151",137,59
720,"CAT_027, CAT_048, CAT_184, CAT_026",126,57
721,"CAT_097, CAT_082, CAT_165, CAT_178",140,49
722,"CAT_071, CAT_133, CAT_052, CAT_031",106,46
723,"CAT_029, CAT_023, CAT_001, CAT_058, CAT_148",115,40
724,"CAT_077, CAT_184, CAT_183, CAT_061, CAT_045, CAT_175",139,52
725,"CAT_199, CAT_082, CAT_030, CAT_145, CAT_079, CAT_064",119,52
726,"CAT_115, CAT_151, CAT_162, CAT_133, CAT_001",112,45
727,"CAT_144, CAT_011, CAT_071, CAT_206, CAT_122",116,43
728,"CAT_216, CAT_123, CAT_141, CAT_112, CAT_183",105,50
729,"CAT_112, CAT_008, CAT_153, CAT_140",118,51
730,"CAT_203, CAT_145, CAT_136, CAT_049",125,42
731,"CAT_158, CAT_033, CAT_187, CAT_204, CAT_143",129,57
732,"CAT_116, CAT_084, CAT_029, CAT_093, CAT_154",135,51
733,"CAT_039, CAT_189, CAT_123, CAT_152, CAT_014",122,60
734,"CAT_133, CAT_197, CAT_216, CAT_103, CAT_194, CAT_058",124,48
735,"CAT_058, CAT_105, CAT_026, CAT_023, CAT_145",132,56
736,"CAT_074, CAT_111, CAT_141, CAT_132",107,44
737,"CAT_087, CAT_138, CAT_094, CAT_197, CAT_076, CAT_134",125,50
738,"CAT_192, CAT_004, CAT_103, CAT_037, CAT_110, CAT_219",108,51
739,"CAT_167, CAT_187, CAT_190, CAT_044, CAT_160, CAT_202",115,51
740,"CAT_050, CAT_157, CAT_171, CAT_152, CAT_116",115,41
741,"CAT_120, CAT_140, CAT_200, CAT_088",142,62
742,"CAT_179, CAT_020, CAT_075, CAT_069, CAT_123",121,52
743,"CAT_005, CAT_069, CAT_045, CAT_210, CAT_056",115,46
744,"CAT_016, CAT_207, CAT_077, CAT_047, CAT_042",134,43
745,"CAT_161, CAT_052, CAT_066, CAT_028",126,44
746,"CAT_108, CAT_168, CAT_089, CAT_079, CAT_127, CAT_165",127,43
747,"CAT_144, CAT_112, CAT_201, CAT_066, CAT_054, CAT_186",125,63
748,"CAT_044, CAT_210, CAT_063, CAT_093, CAT_049",120,50
749,"CAT_155, CAT_215, CAT_177, CAT_187, CAT_037",132,54
750,"CAT_048, CAT_003, CAT_060, CAT_045",121,46
751,"CAT_064, CAT_112, CAT_150, CAT_059, CAT_031, CAT_043",87,34
752,"CAT_022, CAT_028, CAT_167, CAT_087, CAT_162, CAT_150",114,40
753,"CAT_102, CAT_051, CAT_200, CAT_056, CAT_107",129,47
754,"CAT_048, CAT_039, CAT_095, CAT_143",140,56
